exit_status,runid,read_id,filename,barcode,accuracy,identity,model,name,start,end,coverage,URL,categories,seq_id,seq_len,taxon,taxon_id,cluster_id
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,35287f0b-ac08-41e1-8210-3267bbbac11a,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_3.fastq,barcode04,75.59,80.33,protein homolog model,mdfA,60,1139,87.51,https://card.mcmaster.ca/ontology/37727,efflux pump conferring antibiotic resistance,782,1233,Escherichia coli,562,238
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,69aeeaea-302b-47ee-986e-3b6ddf834c55,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_3.fastq,barcode04,94.85,98.72,protein homolog model,OXA-48,0,799,100,https://card.mcmaster.ca/ontology/38182,beta-lactam resistance gene. antibiotic inactivation enzyme,842,799,Klebsiella pneumoniae,573,564
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,d737cef5-2ddc-4702-9745-a195efefa5ff,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_3.fastq,barcode04,94.6,97.26,protein homolog model,oqxB,1449,3153,54.044,https://card.mcmaster.ca/ontology/40632,efflux pump conferring antibiotic resistance,1443,3153,Escherichia coli,562,25
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,df95b134-6407-4f87-9b07-aa4f2ebd9748,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_3.fastq,barcode04,67.18,78.97,protein knockout model,Klebsiella OmpK36 conferring resistance to beta-lactam,78,951,79.076,https://card.mcmaster.ca/ontology/40739,gene conferring resistance via absence. gene modulating permeability to antibiotic,2169,1104,Klebsiella pneumoniae subsp. pneumoniae HS11286,1125630,324
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,b4062338-27b7-4c90-94cb-dfe5cb96cd9c,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_3.fastq,barcode04,93.25,97.64,protein homolog model,CTX-M-55,0,876,100,https://card.mcmaster.ca/ontology/38317,beta-lactam resistance gene. antibiotic inactivation enzyme,1391,876,Escherichia coli,562,461
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,270f877a-0f45-4c83-b251-ef6f4c317bd6,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_3.fastq,barcode04,82.12,86.06,protein variant model,Salmonella enterica parC conferring resistance to fluoroquinolones,272,2259,87.959,https://card.mcmaster.ca/ontology/40662,fluoroquinolone resistance gene. antibiotic resistant gene variant or mutant,2248,2259,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,99287,73
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,e7f886d8-bcf3-42ec-9eb0-8eb085db7d20,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,80.16,83.69,protein variant model,Escherichia coli mutant GlpT conferring resistance to fosfomycin,33,1359,97.572,https://card.mcmaster.ca/ontology/40588,fosfomycin resistance gene. antibiotic resistant gene variant or mutant,2235,1359,Escherichia coli str. K-12 substr. MC4100,1403831,202
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,7142c7e9-a3b0-403f-ab0f-c085a94772c2,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,85.82,88.81,protein homolog model,H-NS,9,415,97.831,https://card.mcmaster.ca/ontology/37020,gene modulating antibiotic efflux. efflux pump conferring antibiotic resistance,1445,415,Escherichia coli O157:H7 str. Sakai,386585,824
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,a3632aac-7882-4865-8af7-9b423ed33b4e,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,86.6,94.57,protein homolog model,oqxB,1210,2692,93.355,https://card.mcmaster.ca/ontology/40632,efflux pump conferring antibiotic resistance,1443,3153,Escherichia coli,562,25
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,e2145acd-2630-44b8-a6e0-174cddda4530,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,92.9,96.34,protein homolog model,fyuA,0,2022,100,https://card.mcmaster.ca/ontology/40524,aminoglycoside resistance gene. tetracycline resistance gene,423,2022,Escherichia coli,562,88
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,8d1aff48-e00d-4019-b2e8-4a94b2d4c764,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,77.97,80.94,protein homolog model,msbA,0,1749,100,https://card.mcmaster.ca/ontology/40720,efflux pump conferring antibiotic resistance,293,1749,Escherichia coli str. K-12 substr. MG1655,511145,116
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,838e3e86-2662-46f5-8b97-baab1e8103dc,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,94.45,98.16,protein homolog model,fyuA,1186,2018,41.147,https://card.mcmaster.ca/ontology/40524,aminoglycoside resistance gene. tetracycline resistance gene,423,2022,Escherichia coli,562,88
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,33a383f2-b364-4803-bb93-de07e867e69f,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,93.98,97.03,protein homolog model,oqxB,0,2203,69.87,https://card.mcmaster.ca/ontology/40632,efflux pump conferring antibiotic resistance,1443,3153,Escherichia coli,562,25
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,ea234ea2-bfdd-4054-a787-aa912aa3cda5,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,78.61,82.78,protein homolog model,patA,786,1353,41.087,https://card.mcmaster.ca/ontology/36033,efflux pump conferring antibiotic resistance,1029,1380,Escherichia coli str. K-12 substr. MG1655,511145,199
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,e814e2f1-965b-4c9d-b50d-bdde906841fe,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,74.4,77.81,protein homolog model,acrB,2112,3095,31.226,https://card.mcmaster.ca/ontology/36355,efflux pump conferring antibiotic resistance,1725,3148,Enterobacter cloacae,550,27
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,2cf77f29-5e43-4d75-9594-bc76392483f4,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,87.36,95.24,protein homolog model,sul1,0,841,100,https://card.mcmaster.ca/ontology/36549,sulfonamide resistance gene. antibiotic target replacement protein,4,841,Vibrio fluvialis,676,505
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,28497655-659f-4f2c-8a46-2e0877369589,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,81.7,91.27,rRNA mutation model,Salmonella enterica serovar Typhimurium 16S rRNA mutation in the rrsD gene conferring resistance to spectinomycin,0,1544,100,https://card.mcmaster.ca/ontology/40114,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2340,1544,Salmonella enterica subsp. salamae,59202,141
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,839eed6e-3969-48df-be9a-cbc5ebbb8651,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,89.39,93.04,protein variant model,Escherichia coli rpoB mutants conferring resistance to rifampicin,2176,2854,85.915,https://card.mcmaster.ca/ontology/39872,antibiotic resistant gene variant or mutant. rifampin resistance gene,2261,4030,Escherichia coli O157:H7 str. Sakai,386585,2
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,e19b4bbc-eb10-461c-b301-f757681f65af,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,93.96,97.98,protein homolog model,SHV-108,3,861,99.652,https://card.mcmaster.ca/ontology/37537,beta-lactam resistance gene. antibiotic inactivation enzyme,1861,861,Klebsiella pneumoniae,573,439
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,c4980472-aa69-4525-8515-82df2fd10393,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,87.3,96.84,protein variant model,Klebsiella mutant PhoP conferring antibiotic resistance to colistin,0,672,100,https://card.mcmaster.ca/ontology/40195,gene altering cell wall charge conferring antibiotic resistance. gene modulating antibiotic efflux. antibiotic resistant gene variant or mutant. polymyxin resistance gene. efflux pump conferring antibiotic resistance,2180,672,Klebsiella pneumoniae,573,665
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,fcb1bf9c-72c4-4bb0-b6f8-a98f7fe985a0,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,91.94,96.78,protein homolog model,TEM-4,2,1061,99.811,https://card.mcmaster.ca/ontology/37256,beta-lactam resistance gene. antibiotic inactivation enzyme,1172,1061,Klebsiella pneumoniae,573,339
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,e4db8f7b-0ba6-43f7-816a-0b054fd959a9,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,93.7,97.99,protein homolog model,OXA-48,4,723,89.987,https://card.mcmaster.ca/ontology/38182,beta-lactam resistance gene. antibiotic inactivation enzyme,842,799,Klebsiella pneumoniae,573,564
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,91dd54e0-8ddd-4970-b01c-15171b60f068,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,87.79,93.91,rRNA mutation model,Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to G418,0,1190,77.173,https://card.mcmaster.ca/ontology/39981,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2310,1542,Escherichia coli K-12,83333,141
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,4f6c882b-9c72-410f-aefb-c8acfd3abafe,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,90.57,96.39,protein homolog model,TEM-4,5,1061,99.529,https://card.mcmaster.ca/ontology/37256,beta-lactam resistance gene. antibiotic inactivation enzyme,1172,1061,Klebsiella pneumoniae,573,339
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,d299904f-0dd9-470b-a3e1-f7a2ffb8c9aa,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,71.66,78.54,protein homolog model,acrB,961,3095,67.789,https://card.mcmaster.ca/ontology/36355,efflux pump conferring antibiotic resistance,1725,3148,Enterobacter cloacae,550,27
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,ae045389-d322-4b42-a201-7d2553133649,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,91.83,98.72,protein homolog model,armA,0,487,62.92,https://card.mcmaster.ca/ontology/37238,aminoglycoside resistance gene. antibiotic target modifying enzyme,222,774,Pseudomonas aeruginosa,287,585
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,de4c71d8-f9ab-4eed-9288-35f7ba7867d9,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,93.93,97.09,protein homolog model,sul1,173,841,79.429,https://card.mcmaster.ca/ontology/36549,sulfonamide resistance gene. antibiotic target replacement protein,4,841,Vibrio fluvialis,676,505
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,077b954c-67c1-487c-a187-bae6b54c0d70,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,95.5,98.52,protein homolog model,dfrA14,0,484,100,https://card.mcmaster.ca/ontology/39293,trimethoprim resistance gene. antibiotic target replacement protein,654,484,Escherichia coli,562,781
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,127cff29-6267-4ffc-9018-356f4a4be156,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,81.3,84.09,protein variant model,Escherichia coli mutant UhpT conferring resistance to fosfomycin,0,1367,98.204,https://card.mcmaster.ca/ontology/40592,fosfomycin resistance gene. antibiotic resistant gene variant or mutant,2183,1392,Escherichia coli str. K-12 substr. MC4100,1403831,196
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,bcb1692a-6084-423e-a21e-ab216dbff282,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,97.44,100,protein homolog model,msrE,547,779,68.862,https://card.mcmaster.ca/ontology/39685,efflux pump conferring antibiotic resistance,1157,1477,Escherichia coli,562,162
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,e908beb1-59f4-41b0-987a-9427a5facaa3,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,76.44,87.5,rRNA mutation model,Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin,104,1533,92.672,https://card.mcmaster.ca/ontology/39956,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2324,1542,Escherichia coli K-12,83333,141
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,ec89fb2e-ce03-419d-9f08-45f7ee5fd369,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,94.65,98.58,protein homolog model,CTX-M-55,0,868,99.087,https://card.mcmaster.ca/ontology/38317,beta-lactam resistance gene. antibiotic inactivation enzyme,1391,876,Escherichia coli,562,461
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,175ef3ab-8650-4c76-ad82-e1df057fc3e1,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,71.89,80.02,protein homolog model,arnA,8,1881,94.168,https://card.mcmaster.ca/ontology/39419,gene altering cell wall charge conferring antibiotic resistance. polymyxin resistance gene,415,1989,Pseudomonas aeruginosa PAO1,208964,93
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,80b1f2a6-b963-4404-8e9a-01fdc53c544a,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,89.49,92.69,protein variant model,Escherichia coli rpoB mutants conferring resistance to rifampicin,0,4028,99.95,https://card.mcmaster.ca/ontology/39872,antibiotic resistant gene variant or mutant. rifampin resistance gene,2261,4030,Escherichia coli O157:H7 str. Sakai,386585,2
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,696d6f75-dfdd-47f2-b169-a2b78e21c266,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,92,96.22,rRNA mutation model,Salmonella enterica serovar Typhimurium 16S rRNA mutation in the rrsD gene conferring resistance to spectinomycin,0,1544,100,https://card.mcmaster.ca/ontology/40114,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2340,1544,Salmonella enterica subsp. salamae,59202,141
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,0f843e50-33b0-4b5b-8d10-6920829403ba,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,92.83,96.6,rRNA mutation model,Salmonella enterica serovar Typhimurium 16S rRNA mutation in the rrsD gene conferring resistance to spectinomycin,0,1544,100,https://card.mcmaster.ca/ontology/40114,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2340,1544,Salmonella enterica subsp. salamae,59202,141
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,3165c762-dce8-496c-81d5-05c7140f16b7,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,78.08,81.01,protein homolog model,acrD,0,3114,99.968,https://card.mcmaster.ca/ontology/36630,efflux pump conferring antibiotic resistance,184,3115,Escherichia coli str. K-12 substr. W3110,316407,34
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,051505ed-e304-4f54-876e-75a1ca51597e,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,91.59,95.61,protein homolog model,oqxB,2814,3024,65.312,https://card.mcmaster.ca/ontology/40632,efflux pump conferring antibiotic resistance,1443,3153,Escherichia coli,562,25
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,901d93c4-3b60-4b2e-abde-85f31823d01e,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,90.15,95.58,rRNA mutation model,Salmonella enterica serovar Typhimurium 16S rRNA mutation in the rrsD gene conferring resistance to spectinomycin,0,1544,100,https://card.mcmaster.ca/ontology/40114,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2340,1544,Salmonella enterica subsp. salamae,59202,141
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,b935fea6-eba2-49bc-9b71-cd20357b45f0,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,77.02,80.91,protein homolog model,acrD,0,2999,96.276,https://card.mcmaster.ca/ontology/36630,efflux pump conferring antibiotic resistance,184,3115,Escherichia coli str. K-12 substr. W3110,316407,34
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,104b1a5f-a12a-48e3-89c8-aa99f4c48c16,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,84.65,88.79,protein variant model,Salmonella serovars gyrB conferring resistance to fluoroquinolone,0,2416,100,https://card.mcmaster.ca/ontology/39891,fluoroquinolone resistance gene. antibiotic resistant gene variant or mutant,2241,2416,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,99287,69
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,c4af1864-b281-4755-af2b-e2a49d539a9f,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,90.05,97.07,protein homolog model,OXA-48,369,799,67.52,https://card.mcmaster.ca/ontology/38182,beta-lactam resistance gene. antibiotic inactivation enzyme,842,799,Klebsiella pneumoniae,573,564
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,df72732f-b65d-4abb-b425-14b08c49c060,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,82.42,85.52,protein homolog model,acrB,3,3099,98.348,https://card.mcmaster.ca/ontology/36355,efflux pump conferring antibiotic resistance,1725,3148,Enterobacter cloacae,550,27
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,3cc63bd8-bb69-4135-890e-ce699b161041,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,90.03,95.42,rRNA mutation model,Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin,0,1542,100,https://card.mcmaster.ca/ontology/39956,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2324,1542,Escherichia coli K-12,83333,141
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,e92471f7-5a0f-4851-82e0-8dccd3645a5e,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,94.01,98.05,protein homolog model,fyuA,4,2018,99.604,https://card.mcmaster.ca/ontology/40524,aminoglycoside resistance gene. tetracycline resistance gene,423,2022,Escherichia coli,562,88
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,34d624da-c317-4e1c-8d9d-3a284081e986,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,94.15,97.44,protein homolog model,acrA,0,1194,100,https://card.mcmaster.ca/ontology/36346,efflux pump conferring antibiotic resistance,395,1194,Klebsiella pneumoniae subsp. pneumoniae HS11286,1125630,264
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,cfcfa29a-8fa4-4867-9f52-08e9f4996551,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,92.04,96.48,rRNA mutation model,Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin,0,1348,87.419,https://card.mcmaster.ca/ontology/39956,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2324,1542,Escherichia coli K-12,83333,141
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,29f1beca-2498-41ef-a8ba-8488d6965295,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,96.7,99,protein homolog model,sul2,0,817,100,https://card.mcmaster.ca/ontology/36551,sulfonamide resistance gene. antibiotic target replacement protein,175,817,Vibrio cholerae,666,537
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,f4fbeb35-59ec-4211-bb5e-4d79641cd8a0,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,94.03,100,protein homolog model,OXA-199,733,799,8.26,https://card.mcmaster.ca/ontology/38214,beta-lactam resistance gene. antibiotic inactivation enzyme,1696,799,Shewanella xiamenensis,332186,564
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,e6a2e612-9160-4e92-8ccf-ea28990d9300,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,95.15,97.65,protein homolog model,TEM-4,0,734,70.278,https://card.mcmaster.ca/ontology/37256,beta-lactam resistance gene. antibiotic inactivation enzyme,1172,1061,Klebsiella pneumoniae,573,339
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,4308177c-d6a3-4370-8aa5-696130f2dbb1,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,77.42,80.44,protein homolog model,mdfA,60,1139,87.51,https://card.mcmaster.ca/ontology/37727,efflux pump conferring antibiotic resistance,782,1233,Escherichia coli,562,238
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,2a1a0d35-b6cb-4205-8e2e-095be78d7ce5,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,92.34,95.95,rRNA mutation model,Salmonella enterica serovar Typhimurium 16S rRNA mutation in the rrsD gene conferring resistance to spectinomycin,0,1544,100,https://card.mcmaster.ca/ontology/40114,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2340,1544,Salmonella enterica subsp. salamae,59202,141
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,d9e2a1fa-854c-4b48-9e5e-9233d12e1659,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,92.31,97.02,protein variant model,Klebsiella mutant PhoP conferring antibiotic resistance to colistin,0,244,36.31,https://card.mcmaster.ca/ontology/40195,gene altering cell wall charge conferring antibiotic resistance. gene modulating antibiotic efflux. antibiotic resistant gene variant or mutant. polymyxin resistance gene. efflux pump conferring antibiotic resistance,2180,672,Klebsiella pneumoniae,573,665
Workflow successful,ed864aac0a447547cee3d3e398b618bc1d650318,6399a6b3-576a-4a83-b21f-9ef1647c571d,FAL00387_ed864aac0a447547cee3d3e398b618bc1d650318_1.fastq,barcode04,91.53,97.3,rRNA mutation model,Salmonella enterica serovar Typhimurium 16S rRNA mutation in the rrsD gene conferring resistance to spectinomycin,2,120,47.639,https://card.mcmaster.ca/ontology/40114,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2340,1544,Salmonella enterica subsp. salamae,59202,141
